words	points
abroad	1
access	2
account	3
accounts	4
action	5
actions	6
activate	7
active	8
activity	9
actor	10
add	11
adding	12
admin	13
administrator	14
administrators	15
adobe	16
adwind	17
afraidgate	18
after	19
agent	20
alert	21
all	22
alpc	23
alternate	24
amp	25
amsi	26
and	27
android	28
angler	29
antimalware	30
apache	31
api	32
app	33
appinit	34
apple	35
applescript	36
application	37
apps	38
apt	39
apt27	40
apt28	41
apt3	42
apt33	43
apt34	44
apt35	45
apt39	46
apt41	47
archive	48
as	49
at	50
atlassian	51
attachment	52
attack	53
attempt	54
attempts	55
audio	56
auth	57
authentication	58
automatic	59
av	60
azorult	61
b734k	62
backdoor	63
bad	64
banking	65
bartalex	66
based	67
bash	68
basic	69
batch	70
be	71
beacon	72
because	73
bedep	74
beeps	75
benign	76
bin	77
binary	78
bind	79
bondupdater	80
bookmarks	81
boolean	82
browser	83
brute	84
by	85
bypass	86
c2	87
callback	88
campaign	89
cancelled	90
cannon	91
cannot	92
capture	93
carberp	94
card	95
careto	96
cerber	97
certificate	98
certutil	99
change	100
changed	101
check	102
china	103
chopper	104
chopstick	105
chrome	106
chunking	107
cipher	108
citrix	109
clearing	110
cli	111
client	112
clipboard	113
clouldpackage	114
cmd	115
code	116
coinminer	117
cointhief	118
collection	119
column	120
com	121
command	122
commands	123
common	124
commons	125
communicate	126
communication	127
completed	128
component	129
compression	130
compromised	131
configuration	132
confluence	133
connection	134
connectivity	135
control	136
controlled	137
cookieminer	138
copy	139
could	140
crackshot	141
create	142
created	143
creation	144
credential	145
credentials	146
credit	147
cross	148
crosswalk	149
cryptolocker	150
cryptowall	151
crysis	152
cscript	153
curl	154
current	155
customer	156
cve	157
cybercom	158
data	159
database	160
db2	161
dba	162
ddos	163
deadeye	164
deadwood	165
debugger	166
default	167
defender	168
defense	169
delete	170
denial	171
desc	172
desktop	173
destover	174
detect	175
detection	176
devices	177
dga	178
dharma	179
dhl	180
digital	181
directories	182
directory	183
disable	184
disconnect	185
discovery	186
dism	187
dll	188
dlls	189
dns	190
doc	191
document	192
documents	193
domain	194
dos	195
double	196
download	197
downloaded	198
downloader	199
downtime	200
dridex	201
drive	202
driver	203
dropper	204
dropshot	205
drupal	206
dump	207
dumping	208
dustman	209
dyre	210
e	211
eastern	212
easysystem	213
eicar	214
ek	215
eldos	216
elections	217
email	218
embedded	219
emotet	220
empire	221
enable	222
encoded	223
encrypt	224
encrypted	225
encryption	226
encryptorraas	227
endpoint	228
energy	229
enum	230
enumerate	231
enumeration	232
error	233
errored	234
escalation	235
etc	236
eternalrocks	237
evasion	238
event	239
excel	240
exception	241
exe	242
exe2powershell	243
executable	244
execute	245
execution	246
exfil	247
exfiltration	248
exploit	249
exploitation	250
explorer	251
extension	252
failed	253
fake	254
fallout	255
file	256
files	257
final	258
find	259
firebird	260
firefox	261
firewall	262
first	263
flash	264
flawedammyy	265
for	266
force	267
forfiles	268
form	269
formbook	270
fragmentation	271
fragroute	272
framework	273
free	274
from	275
ftp	276
ftype	277
fullhouse	278
gandcrab	279
gatekeeper	280
gateway	281
gathering	282
general	283
generic	284
get	285
gh0st	286
glupteba	287
godless	288
goodluck	289
google	290
grabber	291
greenflash	292
group	293
groups	294
guest	295
hancitor	296
hash	297
header	298
headers	299
helper	300
hidden	301
hiding	302
highnoon	303
hijacking	304
histcontrol	305
history	306
hivemind	307
hoeflerfont	308
hole	309
hollowing	310
homepage	311
homeunix	312
hooking	313
host	314
hot	315
hour	316
hsqldb	317
hta	318
html	319
