words	points
abattis	1
abrt	2
abyssinica	3
accounts	4
accountsservice	5
acl	6
actor	7
ad	8
adcli	9
addon	10
address	11
admin	12
adobe	13
adsl	14
adwaita	15
afc	16
afp	17
agent	18
aic94xx	19
all	20
alpha	21
alsa	22
alternate	23
anaconda	24
anacron	25
api	26
apps	27
appstream	28
architecture	29
archive	30
arctic	31
ares	32
array	33
asn1crypto	34
assamese	35
asyncio	36
at	37
ati	38
atk	39
atkmm	40
attr	41
attrs	42
audio	43
audit	44
augeas	45
auth	46
authconfig	47
authorized	48
autocorr	49
autofs	50
autogen	51
automat	52
av	53
avahi	54
available	55
b	56
b08	57
b1	58
b3	59
backends	60
backports	61
bad	62
baobab	63
base	64
base35	65
basesystem	66
bash	67
basic	68
bc	69
bengali	70
beta	71
bin	72
bind	73
binutils	74
biosdevname	75
blivet	76
blktrace	77
blockdev	78
bluetooth	79
bluez	80
bolt	81
bookman	82
boost	83
boot	84
boottime	85
boxes	86
bpftool	87
brasero	88
bridge	89
brlapi	90
brltty	91
broadband	92
btrfs	93
bugzilla	94
build	95
bulk	96
bwm	97
bzip2	98
c	99
c059	100
ca	101
cache	102
cairo	103
cairomm	104
caladea	105
calc	106
calculator	107
cantarell	108
captive	109
carlito	110
carp	111
ccpp	112
cdparanoia	113
cdrdao	114
celt051	115
center	116
centos	117
certificates	118
certmap	119
certmonger	120
cffi	121
cgdcbxd	122
chardet	123
charge	124
check	125
checkpolicy	126
cheese	127
cheese314	128
chewing	129
chinese	130
chkconfig	131
chrome	132
chrony	133
cifs	134
cjkuni	135
classic	136
cli	137
clibs	138
client	139
clients	140
clocks	141
clucene	142
clutter	143
cmap	144
cntlm	145
code	146
codes	147
cogl	148
color	149
colord	150
comm	151
command	152
common	153
comms	154
compat	155
completion	156
config	157
configobj	158
configs	159
configshell	160
connection	161
connector	162
conntrack	163
console	164
constant	165
constantly	166
contacts	167
contrib	168
contribs	169
control	170
controlled	171
copy	172
core	173
cores	174
coreutils	175
coverage	176
cpio	177
cpp	178
cpu	179
cracklib	180
crash	181
crda	182
created	183
createrepo	184
cronie	185
crontabs	186
crosextra	187
crypto	188
cryptography	189
cryptsetup	190
ctl	191
cups	192
curl	193
cursor	194
custodia	195
cyrus	196
d050000l	197
daemon	198
daemons	199
dane	200
data	201
date	202
dateutil	203
daxctl	204
db	205
dbus	206
dconf	207
decorator	208
default	209
dejavu	210
delay	211
deltarpm	212
deprecated	213
desc	214
desktop	215
desktop3	216
desktop314	217
devanagari	218
devel	219
device	220
dhclient	221
dhcp	222
di	223
dictionary	224
dicts	225
diffutils	226
dirs	227
disabled	228
disk	229
disk1	230
dispatcher	231
dleyna	232
dlna	233
dmidecode	234
dmraid	235
dns	236
dnsmasq	237
dnspython3	238
docs	239
documents	240
dosfstools	241
dotconf	242
double	243
dracut	244
draw	245
dri	246
driver	247
drivers	248
drv	249
dsf	250
dummy	251
dvd	252
dyninst	253
e2fsprogs	254
ebtables	255
ed	256
editor	257
effects	258
efi	259
efivar	260
egl	261
el7	262
elf	263
elfutils	264
emacs	265
emoji	266
empathy	267
en	268
enabled	269
enchant	270
encode	271
endpoint	272
enhanced	273
ens160	274
enscript	275
enum34	276
eog	277
epel	278
err	279
error	280
escapes	281
espeak	282
eth0	283
ethtool	284
evdev	285
event	286
events	287
evince	288
evolution	289
executables	290
exempi	291
exiv2	292
expat	293
export	294
exporter	295
extension	296
extensions	297
extra	298
extras	299
f4a80eb5	300
FALSE	301
farstream	302
farstream02	303
fastestmirror	304
fb25	305
fb49	306
fb69	307
fbdev	308
fcoe	309
festival	310
festvox	311
fftw	312
fiapbpo	313
file	314
filesystem	315
filter	316
filters	317
findutils	318
fipscheck	319
firefox	320
firewall	321
firewalld	322
firmware	323
firstboot	324
flac	325
flask	326
flatpak	327
flite	328
folks	329
font	330
fontconfig	331
fontpackages	332
fonts	333
found	334
fprintd	335
fq	336
free	337
freebl	338
freebsoft	339
freedesktop	340
freerdp	341
freetype	342
frei0r	343
fribidi	344
fros	345
fs	346
full	347
fuse	348
futures	349
fwupd	350
fwupdate	351
fxload	352
gabble	353
gateway	354
gavl	355
gawk	356
gb	357
gcc	358
gconf2	359
gconfig	360
gcr	361
gd	362
gdb	363
gdbm	364
gdisk	365
gdk	366
gdm	367
gedit	368
genisoimage	369
geoclue2	370
geocode	371
geoip	372
geoipupdate	373
getopt	374
gettext	375
getting	376
ghostscript	377
giflib	378
git	379
git036e314	380
git133f4c	381
git5baa1e5	382
gitc9e5618	383
gitddde598	384
gjs	385
glade	386
gles	387
glib	388
glib2	389
glibc	390
glibmm24	391
gluster	392
glusterfs	393
glx	394
gmp	395
gnome	396
gnu	397
gnupg2	398
gnutls	399
goa	400
gobject	401
gom	402
good	403
google	404
gothic	405
gperftools	406
gpg	407
gpgme	408
gphoto2	409
gpm	410
graphicfilter	411
graphics	412
graphite2	413
grep	414
grilo	415
groff	416
grub2	417
grubby	418
gsettings	419
gsm	420
gsound	421
gspell	422
gssapi	423
gssdp	424
gssproxy	425
gst2	426
gst3	427
gstreamer	428
gstreamer1	429
gtk	430
gtk2	431
gtk3	432
gtkmm24	433
gtkmm30	434
gtksourceview3	435
gtkspell3	436
gucharmap	437
guest	438
gui	439
gujarati	440
gunicorn	441
gupnp	442
gutenprint	443
gvfs	444
gvnc	445
gzip	446
hangul	447
hardlink	448
harfbuzz	449
haze	450
hbac	451
headers	452
headless	453
helper	454
hesiod	455
hicolor	456
highcontrast	457
hires	458
hooks	459
hostname	460
hpaio	461
hpijs	462
hplip	463
htop	464
hts	465
http	466
hunspell	467
hwdata	468
hyperlink	469
hyperv	470
hypervfcopyd	471
hypervkvpd	472
hypervvssd	473
hyphen	474
i686	475
ibus	476
icedax	477
icedtea	478
icon	479
icons	480
icu	481
id	482
identity	483
idmap	484
idna	485
iftop	486
igd	487
image	488
img	489
immodule	490
impress	491
imsettings	492
incremental	493
indexhtml	494
info	495
iniparse	496
initial	497
initiator	498
initscripts	499
inotify	500
install	501
installer	502
instance	503
intel	504
interface	505
interfaces	506
interval	507
introspection	508
ioc	509
iostreams	510
iotop	511
ip	512
ipa	513
ipaclient	514
ipaddr	515
